Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-PA0714.1	8	22	6	23	3	8	3	4	host	phrD	0.796242652258147	0	0	0	1
gene-PA2644	26	15	36	47	27	27	18	14	host	nuoI	0.3976119189552019	0	0	0	1
gene-PA2069	14	34	5	31	1	7	1	0	host	gene-PA2069	1.0998796431911544	0	1	0	1
gene-PA2476	38	40	29	33	6	12	3	1	host	dsbG	0.7577270497806001	0	0	0	1
gene-PA4135	47	71	36	52	8	5	3	3	host	gene-PA4135	0.8914518605920829	0	0	0	1
gene-PA0055	65	51	31	56	9	13	1	7	host	gene-PA0055	0.808588702680768	0	0	0	1
gene-PA3104	109	99	46	82	9	9	7	1	host	xcpP	0.9360850941886439	0	0	0	1
gene-PA1064	102	113	58	74	15	16	10	3	host	gene-PA1064	0.8402731465964806	0	0	0	1
gene-PA4653	44	24	12	19	1	2	2	4	host	gene-PA4653	1.0423146132940955	0	0	0	1
gene-PA4295	4	9	6	9	4	7	3	6	host	fppA	0.35355339059327373	0	0	0	1
gene-PA4271	1920	3508	1888	3511	802	1191	788	388	host	rplL	0.6464076228246419	0	0	0	1
gene-PA2411	5592	3553	3551	4544	830	903	324	234	host	gene-PA2411	0.8080411563242109	0	0	0	1
gene-PA1678	115	92	106	161	24	48	31	22	host	gene-PA1678	0.6391330516545287	0	0	0	1
gene-PA3397	413	521	361	611	100	95	60	49	host	fpr	0.7680752566814606	0	0	0	1
gene-PA2184	4	5	4	3	1	1	2	1	host	gene-PA2184	0.5694409877667332	0	0	0	1
gene-PA3525	391	397	453	653	214	265	174	115	host	argG	0.4936424122077495	0	0	0	1
gene-PA1392	57	76	34	60	8	14	3	1	host	gene-PA1392	0.8695562342331535	0	0	0	1
gene-PA4485	33	24	25	50	6	13	6	2	host	gene-PA4485	0.770254116906985	0	0	0	1
gene-PA3773	8	1	0	2	0	0	0	0	host	gene-PA3773	1.8873217720024267	0	1	0	1
gene-PA1727	66	70	67	98	19	31	16	12	host	mucR	0.6295350846158642	0	0	0	1
gene-PA4272	2066	6657	3562	6698	1323	1933	1270	781	host	rplJ	0.7373239830730879	0	0	0	1
gene-PA0566	40	53	31	26	8	5	4	2	host	gene-PA0566	0.8508990954771308	0	0	0	1
gene-PA4989	16	14	1	10	3	2	0	1	host	gene-PA4989	1.0263614549099862	0	1	0	1
gene-PA4972	72	59	56	80	12	11	9	3	host	gene-PA4972	0.7922423304642198	0	0	0	1
gene-PA0255	55	56	23	48	9	10	5	3	host	gene-PA0255	0.8286081246216492	0	0	0	1
gene-PA1802	4174	6017	3264	4729	756	869	460	350	host	clpX	0.8134141692776455	0	0	0	1
gene-PA4614	537	701	548	945	112	177	60	31	host	mscL	0.8191326276141314	0	0	0	1
gene-PA2788	133	166	77	143	16	14	7	9	host	gene-PA2788	0.8997262921223087	0	0	0	1
gene-PA3207	74	43	38	55	11	16	4	5	host	gene-PA3207	0.7838258563597041	0	0	0	1
gene-PA0954	305	185	96	157	18	21	10	7	host	gene-PA0954	1.0151036479023332	0	0	0	1
gene-PA1455	360	366	234	323	49	39	26	22	host	fliA	0.8362831013536348	0	0	0	1
gene-PA1579	912	775	555	643	99	84	27	28	host	gene-PA1579	0.8841701241883829	0	0	0	1
gene-PA4624	64	85	60	102	9	7	1	9	host	gene-PA4624	0.8937959335497493	0	0	0	1
gene-PA3083	377	393	415	536	96	97	51	40	host	pepN	0.7416804316046315	0	0	0	1
gene-PA2784	8	7	4	3	3	0	0	1	host	gene-PA2784	0.8668790515065111	0	1	0	1
gene-PA3621.1	2413	5899	856	1825	881	2964	1777	827	host	rsmZ	0.7262846645738654	0	0	0	1
gene-PA2431	31	36	15	37	4	5	2	1	host	gene-PA2431	0.9037020248980246	0	0	0	1
gene-PA4917	75	86	8	36	7	8	1	0	host	gene-PA4917	1.1722775958696876	0	1	0	1
gene-PA4985	8	4	2	6	1	2	0	1	host	gene-PA4985	0.8660254037844387	0	1	0	1
gene-PA4749	1347	1113	1495	1812	166	140	51	56	host	glmM	0.8980672905460823	0	0	0	1
gene-PA3214	90	70	28	76	8	12	0	2	host	gene-PA3214	0.9663262871447991	0	1	0	1
gene-PA3863	22	12	19	24	5	4	5	3	host	dauA	0.69630077327462	0	0	0	1
gene-PA4127	4	8	9	9	2	1	0	1	host	hpcG	0.8463232099963623	0	1	0	1
gene-PA4365	4	2	6	4	1	1	0	0	host	gene-PA4365	0.9094836413191612	0	1	0	1
gene-PA1158	59	50	25	54	7	10	13	5	host	gene-PA1158	0.7661602628642954	0	0	0	1
gene-PA1571	17	22	17	26	7	13	7	3	host	gene-PA1571	0.5333280186810028	0	0	0	1
gene-PA2128	4	35	13	14	5	4	2	2	host	cupA1	1.058987674644455	0	0	0	1
gene-PA0227	9	8	5	11	2	0	0	0	host	gene-PA0227	0.962564601595601	0	1	0	1
gene-PA2415	10	14	5	2	4	1	1	0	host	gene-PA2415	1.002188984742657	0	1	0	1
gene-PA2525	34	35	35	48	4	7	2	0	host	gene-PA2525	0.8700083910807781	0	1	0	1
gene-PA1645	19	15	8	10	4	4	1	2	host	gene-PA1645	0.7656982282661802	0	0	0	1
gene-PA4386	643	872	328	326	37	38	24	13	host	groES	1.0673181635230087	0	0	0	1
gene-PA0145	13	10	7	9	2	0	1	1	host	gene-PA0145	0.8673514511149543	0	1	0	1
gene-PA2846	48	14	8	16	3	6	3	2	host	gene-PA2846	1.1412274094149684	0	0	0	1
gene-PA0729	97	154	80	132	21	11	6	9	host	gene-PA0729	0.8789126832660022	0	0	0	1
gene-PA1380	7	16	4	7	1	3	0	1	host	gene-PA1380	1.0019704452605087	0	1	0	1
gene-PA1959	53	101	52	85	29	35	19	11	host	bacA	0.6128494232553503	0	0	0	1
gene-PA1988	30	17	16	17	2	1	2	0	host	pqqD	0.9643471355916786	0	1	0	1
gene-PA4501	27	30	35	40	4	5	4	1	host	opdP	0.8326919405714593	0	0	0	1
gene-PA0402	127	140	160	186	37	30	12	10	host	pyrB	0.7733088061618214	0	0	0	1
gene-PA2825	100	46	45	47	3	7	1	2	host	ospR	1.0412287905773034	0	0	0	1
gene-PA4143	15	40	8	50	1	13	5	2	host	gene-PA4143	1.021815941896283	0	0	0	1
gene-PA0323	16	13	3	7	1	3	0	2	host	gene-PA0323	0.981558347793679	0	1	0	1
gene-PA2544	45	40	20	30	2	7	5	1	host	gene-PA2544	0.8827230596285565	0	0	0	1
gene-PA5451	261	192	288	361	34	24	3	10	host	wzm	0.9279494685259568	0	0	0	1
gene-PA1493	113	109	133	113	19	11	10	7	host	cysP	0.8253843396470536	0	0	0	1
gene-PA3405	278	64	375	165	39	7	4	8	host	hasE	1.1275792825690572	0	0	0	1
gene-PA1706	478	194	238	117	46	24	6	13	host	pcrV	1.0861693595604813	0	0	0	1
gene-PA2997	118	203	184	241	42	55	32	25	host	nqrC	0.7184207646370812	0	0	0	1
gene-PA4354	9	12	1	3	2	0	1	1	host	gene-PA4354	1.1368856221954853	0	1	0	1
gene-PA3349	2406	1875	1134	1544	190	171	71	87	host	gene-PA3349	0.9312713040946209	0	0	0	1
gene-PA0765	670	313	126	218	39	34	28	20	host	mucC	1.1589739417527272	0	0	0	1
gene-PA1524	13	5	10	15	2	2	2	2	host	xdhA	0.8034431862175638	0	0	0	1
gene-PA2545	52	68	55	79	18	19	5	8	host	xthA	0.709550987511198	0	0	0	1
gene-PA5450	407	358	419	516	39	33	10	17	host	wzt	0.9087372643312053	0	0	0	1
gene-PA3039	23	21	6	10	2	4	2	1	host	gene-PA3039	0.9489157411519336	0	0	0	1
gene-PA4313a	134	88	53	89	14	18	8	4	host	gene-PA4313a	0.8829518664469371	0	0	0	1
gene-PA4454	204	234	167	226	53	73	33	28	host	gene-PA4454	0.6563621054581823	0	0	0	1
gene-PA4211	4	368	1	306	2	22	9	1	host	phzB1	1.6167446175737836	0	0	0	1
gene-PA2166	12	3	1	4	1	0	2	0	host	gene-PA2166	1.2831612663803222	0	1	0	1
gene-PA5393	9	13	4	10	3	5	2	3	host	gene-PA5393	0.6132644571966008	0	0	0	1
gene-PA1680	12	3	10	11	2	4	3	1	host	gene-PA1680	0.7262301342821769	0	0	0	1
gene-PA1127	229	294	48	100	10	13	6	5	host	gene-PA1127	1.1994524512408093	0	0	0	1
gene-PA5191	12	22	10	15	5	0	2	0	host	gene-PA5191	0.8963757247120631	0	1	0	1
gene-PA0498	55	60	14	25	8	1	3	3	host	gene-PA0498	1.0530383396424066	0	0	0	1
gene-PA4393	47	51	24	39	9	13	5	6	host	ampG	0.7309416484815742	0	0	0	1
gene-PA4001	442	714	262	508	84	129	44	26	host	sltB1	0.8572221399822118	0	0	0	1
gene-PA4276	984	1720	1038	2140	378	586	408	214	host	secE	0.6891459748415899	0	0	0	1
gene-PA3708	553	506	261	385	74	61	31	25	host	wspA	0.8693698368304194	0	0	0	1
gene-PA2790	22	14	10	17	1	6	0	0	host	gene-PA2790	0.8976158898517147	0	1	0	1
gene-PA0146	15	7	5	9	2	4	6	0	host	gene-PA0146	0.7168604389202189	0	1	0	1
gene-PA4361	149	101	45	58	5	5	5	1	host	gene-PA4361	1.1067234406630226	0	0	0	1
gene-PA4732	200	213	170	188	53	35	18	13	host	pgi	0.7461723223929001	0	0	0	1
gene-PA1109	33	25	8	18	3	8	3	3	host	gene-PA1109	0.8484287766686737	0	0	0	1
gene-PA4353	9	11	9	14	3	3	0	4	host	gene-PA4353	0.6789831779413804	0	1	0	1
gene-PA3089a	28	25	31	35	7	1	2	4	host	gene-PA3089a	0.810880556456198	0	0	0	1
gene-PA3661	8	9	9	8	3	1	4	1	host	gene-PA3661	0.6095508103293561	0	0	0	1
gene-PA4696	524	641	374	528	58	95	40	34	host	ilvI	0.8375629047025112	0	0	0	1
gene-PA4558	236	259	249	403	72	74	40	29	host	gene-PA4558	0.744154446734424	0	0	0	1
gene-PA4725	235	244	154	205	29	31	20	21	host	cbrA	0.8134523831361228	0	0	0	1
gene-PA2316	21	13	7	17	2	3	1	1	host	gene-PA2316	0.907431514034377	0	0	0	1
gene-PA0442	0	0	0	1	0	0	0	0	host	gene-PA0442	2.6457513110645907	0	1	0	1
gene-PA4815	3	8	5	11	6	3	1	0	host	gene-PA4815	0.7406588976240389	0	1	0	1
gene-PA1184	21	17	10	12	3	3	0	1	host	gene-PA1184	0.8773022095334684	0	1	0	1
gene-PA1346	3	4	2	4	2	4	0	1	host	gene-PA1346	0.565685424949238	0	1	0	1
gene-PA3206	51	26	29	46	9	10	2	2	host	gene-PA3206	0.8233133655900309	0	0	0	1
gene-PA1523	39	37	48	74	8	3	2	4	host	xdhB	0.9288245157567974	0	0	0	1
gene-PA3021	84	50	56	37	6	7	3	7	host	gene-PA3021	0.9044954394578228	0	0	0	1
gene-PA0788a	3	7	3	1	0	0	0	0	host	gene-PA0788a	1.3324827218698307	0	1	0	1
gene-PA3166	548	807	612	855	135	155	90	62	host	pheA	0.7651240843648839	0	0	0	1
gene-PA0403	13	14	17	22	7	4	4	6	host	pyrR	0.5713695872016813	0	0	0	1
gene-PA1460	324	233	271	369	45	39	10	12	host	motC	0.8694498839982667	0	0	0	1
gene-PA4581.1	75	160	73	92	71	100	66	52	host	gene-PA4581.1	0.36206301866889956	0	0	0	1
gene-PA4708	1305	974	162	177	31	23	9	19	host	phuT	1.4054395599430625	0	0	0	1
gene-PA4086	9	28	5	14	2	5	1	1	host	cupB1	1.0559496132859827	0	0	0	1
gene-PA0617	95	192	104	294	83	129	136	70	host	gene-PA0617	0.4998148199466446	0	0	0	1
gene-PA4703	54	44	21	39	3	9	2	3	host	gene-PA4703	0.8982704469803998	0	0	0	1
gene-PA4040	56	29	15	35	7	7	1	1	host	gene-PA4040	0.969130121502702	0	0	0	1
gene-PA5366	86	121	49	81	20	36	28	13	host	pstB	0.6550752433941057	0	0	0	1
gene-PA1623	135	107	90	96	16	11	8	5	host	gene-PA1623	0.8563658995285687	0	0	0	1
gene-PA0840	70	28	113	150	27	15	5	7	host	gene-PA0840	0.9747069861302669	0	0	0	1
gene-PA4476	683	545	409	649	93	101	32	36	host	gene-PA4476	0.8318977420938043	0	0	0	1
gene-PA0268	24	13	15	34	4	3	4	2	host	gene-PA0268	0.8786717675528093	0	0	0	1
gene-PA3239	43	63	39	85	6	15	10	4	host	gene-PA3239	0.8378973157328726	0	0	0	1
gene-PA4912	21	26	7	26	2	9	5	2	host	gene-PA4912	0.7932976214521147	0	0	0	1
gene-PA1556	6	30	5	14	1	7	8	1	host	ccoO2	0.9813067629253164	0	0	0	1
gene-PA4245	644	1836	1665	2729	648	918	423	253	host	rpmD	0.7022804345219085	0	0	0	1
gene-PA5552	445	433	220	354	53	56	28	22	host	glmU	0.8637382390796524	0	0	0	1
gene-PA2359	4	6	7	3	5	0	1	1	host	gene-PA2359	0.7095275578025192	0	1	0	1
gene-PA0491	17	2	1	7	1	0	1	2	host	gene-PA0491	1.3803285738925593	0	1	0	1
gene-PA2068	7	16	6	18	0	6	4	0	host	gene-PA2068	0.8749093080555567	0	1	0	1
gene-PA1012	392	519	341	541	79	100	77	51	host	gene-PA1012	0.744452499364146	0	0	0	1
gene-PA0701	20	9	7	7	0	4	2	2	host	gene-PA0701	0.924484332088336	0	1	0	1
gene-PA5305	150	109	56	88	23	21	13	4	host	gene-PA5305	0.8513121996985179	0	0	0	1
gene-PA5446	124	91	61	101	32	42	34	23	host	gene-PA5446	0.5510123476195561	0	0	0	1
gene-PA4576	641	495	320	367	71	70	25	25	host	gene-PA4576	0.8850526329694972	0	0	0	1
gene-PA5519	44	52	31	45	21	11	8	2	host	gene-PA5519	0.6649977655035595	0	0	0	1
gene-PA3014	2132	1510	765	853	211	172	100	141	host	faoA	0.9510852895900143	0	0	0	1
gene-PA0569	32	21	14	17	5	6	1	2	host	gene-PA0569	0.8241967553595376	0	0	0	1
gene-PA3450	14	18	14	20	6	10	4	3	host	gene-PA3450	0.5382714412136398	0	0	0	1
gene-PA0888	656	1299	324	534	65	103	74	45	host	aotJ	1.051812369762908	0	0	0	1
gene-PA4791	44	32	20	25	5	4	2	0	host	gene-PA4791	0.9221287305880569	0	1	0	1
gene-PA3519	3	2	3	6	0	3	0	0	host	gene-PA3519	0.924484332088336	0	1	0	1
gene-PA4442	165	230	156	255	37	46	35	7	host	cysN	0.7798976431818383	0	0	0	1
gene-PA4631	107	102	77	118	21	54	16	14	host	gene-PA4631	0.6367332173672499	0	0	0	1
gene-PA1520	102	114	69	75	14	24	19	16	host	gene-PA1520	0.7077344502700545	0	0	0	1
gene-PA1468	10	6	6	10	2	2	0	1	host	gene-PA1468	0.8012955178580321	0	1	0	1
gene-PA0536	143	158	111	179	33	34	15	13	host	gene-PA0536	0.7556534114928009	0	0	0	1
gene-PA1840	45	44	45	40	9	7	5	6	host	gene-PA1840	0.7348209864529117	0	0	0	1
gene-PA5028	306	314	76	149	22	33	25	15	host	gene-PA5028	1.0078101526365748	0	0	0	1
gene-PA5485	125	92	96	135	13	14	3	7	host	ampDh2	0.8757402771675284	0	0	0	1
gene-PA2580	38	31	13	25	8	11	4	3	host	gene-PA2580	0.7360360790179687	0	0	0	1
gene-PA2486	3	2	3	2	1	0	0	0	host	gene-PA2486	0.8860722131644512	0	1	0	1
gene-PA0137	5	5	2	0	1	0	1	0	host	gene-PA0137	1.1338934190276817	0	1	0	1
gene-PA2277	5	1	2	2	1	0	0	1	host	arsR	1.0	0	1	0	1
gene-PA1112.1	186	243	192	345	55	88	34	18	host	gene-PA1112.1	0.7441097793247609	0	0	0	1
gene-PA5175	251	135	71	106	19	22	9	6	host	cysQ	1.0275436613465856	0	0	0	1
gene-PA3228	180	161	192	244	50	34	17	23	host	gene-PA3228	0.7541936881406466	0	0	0	1
gene-PA0432	535	837	1055	1754	268	397	166	89	host	sahH	0.820322759007928	0	0	0	1
gene-PA2189	16	12	10	11	1	3	1	1	host	gene-PA2189	0.8210052294455008	0	0	0	1
gene-PA2150	1	5	3	3	0	0	1	0	host	gene-PA2150	1.063098073929635	0	1	0	1
gene-PA3543	9	12	3	3	1	3	2	2	host	algK	0.8393389040896219	0	0	0	1
gene-PA0929	285	318	16	13	5	4	3	6	host	gene-PA0929	1.5692156862020228	0	0	0	1
gene-PA4323	131	148	104	207	24	30	10	13	host	gene-PA4323	0.8359729209506467	0	0	0	1
gene-PA3759	4	6	5	5	1	2	1	0	host	gene-PA3759	0.7071067811865475	0	1	0	1
gene-PA0175	21	12	10	23	2	4	5	4	host	gene-PA0175	0.7447422781163295	0	0	0	1
gene-PA0171	17	42	8	17	0	1	1	0	host	gene-PA0171	1.2667482633857043	0	1	0	1
gene-PA0645	17	40	20	44	12	27	23	5	host	gene-PA0645	0.528499674398903	0	0	0	1
gene-PA1657	10	37	20	120	11	83	59	7	host	gene-PA1657	0.8838527919241934	0	0	0	1
gene-PA1608	69	69	116	138	27	19	6	10	host	gene-PA1608	0.8237649882376784	0	0	0	1
gene-PA0894	39	39	20	45	8	5	4	4	host	gene-PA0894	0.8136988935420623	0	0	0	1
gene-PA3994	4	4	5	5	2	1	1	0	host	gene-PA3994	0.674199862463242	0	1	0	1
gene-PA1365	157	115	128	114	25	14	6	9	host	gene-PA1365	0.8312246016720846	0	0	0	1
gene-PA0628	133	149	164	285	170	249	181	98	host	gene-PA0628	0.31928760401954226	0	0	0	1
gene-PA1583	1457	1731	2025	3226	456	503	344	261	host	sdhA	0.7880179634539154	0	0	0	1
gene-PA1071	395	460	490	680	57	33	12	13	host	braF	0.9367507487251551	0	0	0	1
gene-PA2965	606	648	937	1495	276	376	157	96	host	fabF1	0.758778244008756	0	0	0	1
gene-PA5154	104	110	84	120	8	6	2	4	host	gene-PA5154	0.9248463643932923	0	0	0	1
gene-PA0784	146	79	71	60	13	14	8	3	host	gene-PA0784	0.9423458316717478	0	0	0	1
gene-PA1273	20	12	6	10	2	2	4	0	host	cobB	0.8921425711997711	0	1	0	1
gene-PA3889	22	11	9	4	3	6	1	0	host	gene-PA3889	0.9529760045804524	0	1	0	1
gene-PA5477	59	55	18	35	6	13	5	5	host	gene-PA5477	0.8547098608723234	0	0	0	1
gene-PA2449	154	127	89	141	39	33	17	8	host	gene-PA2449	0.7266982688580033	0	0	0	1
gene-PA0679	6	10	5	5	0	1	1	4	host	gene-PA0679	0.770551750371122	0	1	0	1
gene-PA0909	3	12	4	15	4	4	3	2	host	gene-PA0909	0.76802321905447	0	0	0	1
gene-PA0103a	43	44	17	18	9	16	9	5	host	gene-PA0103a	0.702906935920249	0	0	0	1
gene-PA4548	309	261	121	167	32	38	29	18	host	gene-PA4548	0.8748032557996452	0	0	0	1
gene-PA1058	18	22	21	44	5	3	2	0	host	gene-PA1058	0.9744951676422177	0	1	0	1
gene-PA0872	181	363	185	211	15	27	7	15	host	phhA	0.9697820040006759	0	0	0	1
gene-PA2641	113	84	162	185	80	106	44	27	host	nuoF	0.5042814597820123	0	0	0	1
gene-PA1530	59	82	86	107	17	34	17	9	host	gene-PA1530	0.6795207070132739	0	0	0	1
gene-PA0766	1815	1810	867	1120	254	212	124	104	host	mucD	0.8675726719444125	0	0	0	1
gene-PA1744	2	5	4	7	0	1	1	0	host	gene-PA1744	0.9591663046625438	0	1	0	1
gene-PA1601	59	6	60	14	11	5	2	3	host	gene-PA1601	1.1554220008291343	0	0	0	1
gene-PA4587	83	93	53	81	4	6	2	6	host	ccpR	0.926829268292683	0	0	0	1
gene-PA2199	820	859	375	755	95	196	67	53	host	gene-PA2199	0.8238282294634092	0	0	0	1
gene-PA3694	79	71	61	78	8	11	2	6	host	gene-PA3694	0.8410818526774793	0	0	0	1
gene-PA4640	566	448	27844	493	132	123	93	55	host	mqoB	2.452178969397118	0	0	0	1
gene-PA4626	26	18	15	21	3	5	0	3	host	hprA	0.8068508736606869	0	1	0	1
gene-PA0972	1142	2083	935	1340	277	359	242	164	host	tolB	0.779934998424916	0	0	0	1
gene-PA0575	93	56	45	56	20	20	17	7	host	gene-PA0575	0.6836089448658409	0	0	0	1
gene-PA4664	112	143	109	212	28	31	25	12	host	hemK	0.797308041712038	0	0	0	1
gene-PA1679	104	77	77	101	23	30	20	10	host	gene-PA1679	0.6520705823045824	0	0	0	1
gene-PA4283	218	151	140	191	36	35	28	22	host	recD	0.7384085912088194	0	0	0	1
gene-PA2061	16	9	10	7	0	2	1	0	host	gene-PA2061	0.9694086271638772	0	1	0	1
gene-PA4928	100	147	136	237	74	77	50	24	host	gene-PA4928	0.5940958059831265	0	0	0	1
gene-PA1578a	9	12	6	9	4	7	4	1	host	gene-PA1578a	0.5044183480232308	0	0	0	1
gene-PA0855	16	18	7	6	1	3	1	2	host	gene-PA0855	0.9303597545985534	0	0	0	1
gene-PA1984	152	99	318	282	39	25	5	9	host	exaC	1.000207384632943	0	0	0	1
gene-PA4302	27	30	15	33	11	8	15	4	host	tadA	0.5639243394889099	0	0	0	1
gene-PA2734	413	578	365	558	50	88	35	25	host	gene-PA2734	0.8509754436488145	0	0	0	1
gene-PA0090	148	207	168	304	24	34	45	26	host	clpV1	0.8133960087178489	0	0	0	1
gene-PA1957	6	6	3	9	4	4	0	1	host	gene-PA1957	0.657652558006385	0	1	0	1
gene-PA5133	130	157	56	115	20	24	18	3	host	gene-PA5133	0.8555694983169737	0	0	0	1
gene-PA4478	138	170	60	133	15	25	14	7	host	gene-PA4478	0.8839316090482061	0	0	0	1
gene-PA5227.1	2344	2885	814	1470	601	2034	1461	603	host	ssrS	0.5176857330025418	0	0	0	1
gene-PA1169	13	24	53	85	9	10	3	3	host	gene-PA1169	1.0934349546269315	0	0	0	1
gene-PA0829	15	14	8	14	2	7	3	0	host	gene-PA0829	0.7054122553425071	0	1	0	1
gene-PA0805	174	217	235	414	35	39	19	14	host	gene-PA0805	0.9319728609403816	0	0	0	1
gene-PA4659	22	18	12	18	3	1	5	2	host	gene-PA4659	0.7767973440365122	0	0	0	1
gene-PA5051	128	176	173	243	36	40	40	17	host	argS	0.7427217261577757	0	0	0	1
gene-PA4037	11	4	5	5	0	2	1	0	host	gene-PA4037	0.9793792286287205	0	1	0	1
gene-PA1112a	84	94	48	72	16	16	9	2	host	gene-PA1112a	0.8059715980122383	0	0	0	1
gene-PA4278	201	192	95	160	45	69	48	33	host	gene-PA4278	0.6116937512313637	0	0	0	1
gene-PA0170	26	66	13	44	1	1	1	2	host	gene-PA0170	1.1873709994645192	0	0	0	1
gene-PA0976.1	275	420	87	207	84	198	83	29	host	gene-PA0976.1	0.70058135937409	0	0	0	1
gene-PA5219	66	49	30	42	9	13	4	0	host	gene-PA5219	0.8415026407795367	0	1	0	1
gene-PA0548	436	640	397	639	160	218	140	77	host	tktA	0.6166406490869156	0	0	0	1
gene-PA1347	8	11	0	3	0	0	0	0	host	gene-PA1347	1.4854667853061991	0	1	0	1
gene-PA0583	44	57	39	65	16	21	11	4	host	gene-PA0583	0.6519222726276982	0	0	0	1
gene-PA4704.1	474	1211	446	587	249	383	226	213	host	prrF1	0.6444243273558863	0	0	0	1
gene-PA4042	36	21	13	18	2	7	6	2	host	xseB	0.8280239022917394	0	0	0	1
gene-PA2295	4	1	1	2	0	0	0	0	host	gene-PA2295	1.3228756555322954	0	1	0	1
gene-PA0733	17	11	15	12	3	4	1	3	host	gene-PA0733	0.7035264706814485	0	0	0	1
gene-PA2856	272	171	52	66	16	14	14	5	host	tesA	1.1770948436277004	0	0	0	1
gene-PA5349	208	207	72	127	18	25	16	9	host	gene-PA5349	0.9326389231985798	0	0	0	1
gene-PA0528	10	6	14	28	4	3	1	0	host	gene-PA0528	1.0475385465117337	0	1	0	1
gene-PA0952	162	124	72	127	21	11	2	5	host	gene-PA0952	0.9224015091185839	0	0	0	1
gene-PA1863	17	22	17	17	4	4	5	2	host	modA	0.6772574738977881	0	0	0	1
gene-PA1775	226	522	822	1420	140	231	87	51	host	cmpX	1.0123471172842995	0	0	0	1
gene-PA0383	55	52	44	73	15	14	10	4	host	gene-PA0383	0.7200271035623277	0	0	0	1
gene-PA2367	55	52	28	27	5	7	3	3	host	gene-PA2367	0.9004799817491027	0	0	0	1
gene-PA3418	19	21	21	36	7	7	1	4	host	ldh	0.7601864718982276	0	0	0	1
gene-PA3568	374	310	316	589	15	28	7	7	host	gene-PA3568	1.0095962421654538	0	0	0	1
gene-PA1972	10	10	5	7	0	3	1	1	host	gene-PA1972	0.8157507174479227	0	1	0	1
gene-PA1779	27	30	10	25	6	9	8	3	host	gene-PA1779	0.6794475339941507	0	0	0	1
gene-PA2173a	3	3	2	3	0	0	1	0	host	gene-PA2173a	0.8819171036881969	0	1	0	1
gene-PA4871	18	10	5	8	0	2	1	0	host	gene-PA4871	1.0679400113155209	0	1	0	1
gene-PA5056	61	71	19	43	5	11	3	3	host	phaC1	0.9536587547839802	0	0	0	1
gene-PA1641	15	15	4	4	1	1	2	1	host	gene-PA1641	1.056285111551234	0	0	0	1
gene-PA0266	385	352	605	692	256	256	74	69	host	gene-PA0266	0.6262594196848772	0	0	0	1
gene-PA2203	7	4	21	40	1	3	2	1	host	gene-PA2203	1.3110282471760273	0	0	0	1
gene-PA0472	193	191	5	10	3	3	1	1	host	gene-PA0472	1.6024309328536508	0	0	0	1
gene-PA5041	1310	1297	929	1298	69	68	29	19	host	pilP	0.9443264712026773	0	0	0	1
gene-PA4617	41	30	40	60	6	13	4	0	host	gene-PA4617	0.8372124262186648	0	1	0	1
gene-PA1755	36	34	23	18	2	2	3	4	host	gene-PA1755	0.8911460934378284	0	0	0	1
gene-PA2696	13	35	3	10	0	1	0	2	host	gene-PA2696	1.3947446002763373	0	1	0	1
gene-PA3861	402	452	603	795	107	120	47	45	host	rhl	0.8271975678548519	0	0	0	1
gene-PA5476	27	20	16	14	4	3	4	1	host	citA	0.7994916956054029	0	0	0	1
gene-PA1447	86	73	46	66	14	8	5	4	host	fliQ	0.8427786572366651	0	0	0	1
gene-PA3524	38	71	58	75	29	25	23	21	host	gloA1	0.4893325727784805	0	0	0	1
gene-PA0283	23	12	8	17	3	2	5	1	host	sbp	0.8307471607356973	0	0	0	1
gene-PA1637	30	36	12	21	4	4	3	0	host	kdpE	0.9304757514126536	0	1	0	1
gene-PA4861	8	8	3	7	0	1	1	1	host	gene-PA4861	0.8932299204819737	0	1	0	1
gene-PA3395	6	3	6	20	5	6	6	4	host	nosY	0.7178482586514922	0	0	0	1
gene-PA4842	340	291	150	178	45	45	26	24	host	gene-PA4842	0.8488784957914012	0	0	0	1
gene-PA4444	74	86	48	72	12	14	12	6	host	mltB1	0.7689088700750628	0	0	0	1
gene-PA2169	0	4	4	0	0	1	1	0	host	gene-PA2169	1.3114877048604001	0	1	0	1
gene-PA4482	39	21	31	44	7	14	4	4	host	gatC	0.7264035420407527	0	0	0	1
gene-PA4778	38	38	14	25	6	16	7	4	host	cueR	0.696437769012169	0	0	0	1
gene-PA2526	57	66	44	61	12	13	9	7	host	gene-PA2526	0.7177609835121502	0	0	0	1
gene-PA2663	0	3	0	1	0	0	0	0	host	ppyR	2.0	0	1	0	1
gene-PA2383	98	135	83	111	13	19	4	5	host	gene-PA2383	0.8596438263712929	0	0	0	1
gene-PA5186	30	21	14	22	2	2	1	3	host	gene-PA5186	0.8985676506054965	0	0	0	1
gene-PA5060	3136	2494	1314	1683	317	290	98	105	host	phaF	0.9328230616070022	0	0	0	1
gene-PA0016	103	155	151	227	33	45	25	23	host	trkA	0.7483905755086981	0	0	0	1
gene-PA0577	167	194	185	276	58	67	29	26	host	dnaG	0.690258117734612	0	0	0	1
gene-PA1589	2606	3576	3788	4956	1555	1489	606	475	host	sucD	0.6359882372588377	0	0	0	1
