Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA1173	9	5	18	5	9	53	1	1	5	0	1	31	host	napB	1.3156515033955205	0	1
gene-PA1857	27	32	38	26	38	157	10	8	22	4	6	298	host	gene-PA1857	1.4940385102094618	0	1
gene-PA0874	7	27	19	5	13	72	2	3	6	1	0	38	host	gene-PA0874	1.2572963514137243	0	1
gene-PA0480	8	4	23	3	3	83	0	0	15	0	0	160	host	gene-PA0480	1.8642027665133754	0	1
gene-PA4847	162	322	187	959	1346	304	212	239	15	81	44	23	host	accB	1.2055383695230553	0	1
gene-PA5027	78	66	200	29	46	129	11	10	76228	9	2	298	host	gene-PA5027	3.2754527993674	0	1
gene-PA2843	37	35	22	27	36	136	6	8	13	7	7	240	host	gene-PA2843	1.403835303801204	0	1
gene-PA2423	56	60	37	124	199	138	22	26	15	12	4	96	host	gene-PA2423	0.8891188714580185	0	1
gene-PA3626	319	277	74	141	211	163	37	48	18	33	17	207	host	gene-PA3626	0.7903087551636957	0	1
gene-PA5440a	18	23	10	23	36	82	2	2	9	2	0	143	host	gene-PA5440a	1.3939460944691204	0	1
gene-PA2793	72	99	47	39	77	151	15	20	19	8	10	67	host	gene-PA2793	0.7974781504182277	0	1
gene-PA1690	87	48	24	58	33	164	12	7	15	9	6	149	host	pscU	1.0332483749227024	0	1
gene-PA4090	84	91	21	76	70	71	8	10	10	3	3	21	host	gene-PA4090	0.8747436304555597	0	1
gene-PPLUZ19_gp24	0	0	78	10	14	12154	21238	35634	180514	233227	189142	213718	phage	gp24	1.2668464632923517	0	0
gene-PA1479	40	82	36	42	71	94	24	19	14	25	12	85	host	ccmE	0.6280203834877691	0	1
gene-PA4761	376	342	2427	197	247	777	73	72	49	54	49	302	host	dnaK	1.545597170654439	0	1
gene-PA1557	28	52	371	25	42	384	12	10	32	8	4	199	host	ccoN2	1.387324789741233	0	1
gene-PA5401	7	0	24	9	11	116	2	6	14	3	2	227	host	gene-PA5401	1.8634972560004106	0	1
gene-PA1552	142	225	228	202	278	337	85	93	44	63	39	106	host	ccoP1	0.6129176127459114	0	1
gene-PA4126	8	7	3971	3	4	275	1	1	1853	4	1	388	host	gene-PA4126	2.119237017053238	0	1
gene-PA4081	12	6	64766	8	8	315	4	3	68	2	2	48414	host	cupB6	2.253724717512107	0	1
gene-PA0081	165	157	105	70	92	238	19	27	36	15	13	138	host	fha1	0.7789257763498367	0	1
gene-PA2303	20	49	31	31	43	86	4	8	2	3	4	150	host	ambD	1.1674084877583228	0	1
gene-PA1823	341	310	59	176	248	139	37	30	11	18	15	168	host	gene-PA1823	0.8874946765672879	0	1
gene-PA3541	13	13	33	7	8	246	5	3	18	6	1	197	host	alg8	1.736929940969039	0	1
gene-PA1844	10	10	13	4	11	90	5	3	6	4	5	126	host	gene-PA1844	1.6071256242997412	0	1
gene-PA2371	180	123	46	111	128	223	17	18	30	4	4	320	host	gene-PA2371	0.9595349274318383	0	1
gene-PA3786	42	26	41	14	10	97	3	8	12	4	3	63	host	gene-PA3786	1.0366432837299726	0	1
gene-PA4052	163	171	73	199	248	156	72	92	20	64	34	254	host	nusB	0.5979723485344323	0	1
gene-PA2810	27	37	23	19	28	121	6	6	17	4	5	227	host	copS	1.4566314386038062	0	1
gene-PA3925	397	186	33	194	136	153	33	13	25	11	11	485	host	gene-PA3925	1.0848602168814634	0	1
gene-PA1698	271	69	13	112	50	84	56	15	11	8	9	156	host	popN	1.055094259988218	0	1
gene-PA3323	5	1	17	6	8	139	1	0	11	0	0	180	host	gene-PA3323	1.9054164908966016	0	1
gene-PA4106	7	7	12	3	7	129	2	1	10	0	4	403	host	gene-PA4106	2.3006711804993314	0	1
gene-PA3155	692	1277	513	762	1232	639	135	158	50	50	32	211	host	wbpE	0.8968951671107901	0	1
gene-PA0078	46	41	41	37	46	135	8	13	16	7	6	228	host	gene-PA0078	1.2073339742771205	0	1
gene-PA4887	23	32	29	57	107	203	7	16	30	5	1	362	host	gene-PA4887	1.4168892405334297	0	1
gene-PA3923	2784	2223	155	827	904	394	59	46	49	10	24	481	host	gene-PA3923	1.3305240738213995	0	1
gene-PA1244	169	177	57	135	150	151	48	48	13	14	19	201	host	gene-PA1244	0.6933658356057634	0	1
gene-PA5037	629	675	2315	541	703	343	95	125	30	62	34	203	host	gene-PA5037	1.266454536278912	0	1
gene-PA5066	331	259	78	160	245	132	44	43	12	27	24	36	host	hisI	0.9015850898990575	0	1
gene-PA0964	1230	1794	536	1179	1775	814	320	371	74	197	141	100	host	pmpR	0.8586302275167361	0	1
gene-PA0497	13	12	50	5	10	295	2	1	36	2	1	173	host	gene-PA0497	1.743540459333632	0	1
gene-PA3901	95	75	1943	106	87	410	23	14	57	8	8	348	host	fecA	1.9713243914070595	0	1
gene-PA0837	990	1184	182	988	1692	432	290	357	68	167	111	74	host	slyD	0.9398680476189922	0	1
gene-PA2581.1	71	107	37	44	72	219	67	83	25	15	11	38	host	gene-PA2581.1	0.8196981421030456	0	1
gene-PA3105	244	275	140	189	325	313	29	38	54	12	11	242	host	xcpQ	0.7541115658709974	0	1
gene-PA1766	358	436	155	401	568	330	134	126	35	76	61	131	host	gene-PA1766	0.7162928470108295	0	1
gene-PA3224	50	78	49	25	39	73	7	5	10	4	2	63	host	gene-PA3224	0.8093757861693859	0	1
gene-PA4615	727	492	72	459	460	202	68	70	343	27	23	109	host	gene-PA4615	0.8813456458734703	0	1
gene-PA2314	4	0	4	2	0	38	0	1	9	0	0	90	host	gene-PA2314	2.072023109488101	0	1
gene-PA0658	111	79	48	48	95	142	17	23	25	9	10	231	host	gene-PA0658	0.9134016679813141	0	1
gene-PA1404	5	1	6	2	3	59	1	1	3	1	0	124	host	gene-PA1404	2.087333483367943	0	1
gene-PA1872	41	53	17	15	14	94	6	5	12	1	0	178	host	gene-PA1872	1.3780873168297436	0	1
gene-PA4622	10	7	1148	5	13	299	5	2	4765	2	3	372	host	gene-PA4622	2.370333102767992	0	1
gene-PA1407	14	10	16	7	10	129	3	5	10	1	1	206	host	gene-PA1407	1.7987778760836428	0	1
gene-PA2569	23	24	9	11	19	84	4	3	6	0	2	36	host	gene-PA2569	1.2156628826032096	0	1
gene-PA2287	21	15	14	16	25	27	3	2	8	1	3	51	host	gene-PA2287	0.8887082138036071	0	1
gene-PA5115	7	3	16503	2	5	109	1	2	1375	1	0	103	host	gene-PA5115	3.0056162436492593	0	1
gene-PA5449	299	242	55	283	421	295	26	13	40	9	4	250	host	wbpX	0.8901108495115606	0	1
gene-PA1297	22	8	29	8	19	268	4	3	29	2	1	284	host	gene-PA1297	1.750011493577417	0	1
gene-PA3633	53	64	24	68	96	153	32	32	8	10	5	126	host	ygbP	0.8215329102304295	0	1
gene-PA4519	108	109	484	62	108	338	32	59	27	54	23	222	host	speC	1.010991548469131	0	1
gene-PA3137	79	59	30	36	68	198	7	9	14	6	6	256	host	gene-PA3137	1.2147369828485506	0	1
gene-PA5176	388	347	72	144	201	210	43	57	27	19	10	141	host	gene-PA5176	0.8814168142331378	0	1
gene-PA5295	244	238	79	77	172	275	29	41	41	16	14	475	host	gene-PA5295	0.9610989705422784	0	1
gene-PA0648	104	91	69	41	80	161	23	31	16	24	16	70	host	gene-PA0648	0.6982533720325067	0	1
gene-PA0381	85	130	45	80	141	245	32	45	37	25	18	225	host	thiG	0.8040660267967159	0	1
gene-PA1562	210	145	134	94	147	467	33	32	45	13	7	559	host	acnA	1.0897886183365428	0	1
gene-PA3781	16	18	38	10	17	234	1	6	23	1	1	301	host	gene-PA3781	1.7358422403601526	0	1
gene-PA1262	8	3	12	0	2	98	0	1	22	1	0	182	host	gene-PA1262	1.9532961146991754	0	1
gene-PA3254	35	41	28	34	45	128	13	9	9	5	2	283	host	gene-PA3254	1.4545124521026225	0	1
gene-PA0496	38	32	23	15	36	173	6	2	25	1	1	233	host	gene-PA0496	1.461124547776716	0	1
gene-PA4358	31	32	180	14	33	327	10	9	24	9	2	1657	host	gene-PA4358	2.3231444665716423	0	1
gene-PA5138	186	222	54	138	217	226	26	29	25	14	13	124	host	gene-PA5138	0.8003123704727368	0	1
gene-PA2630	73	100	107	120	251	237	43	61	27	33	31	102	host	gene-PA2630	0.7283766197054415	0	1
gene-PA3051	32	38	19	5	8	105	1	1	14	1	3	154	host	gene-PA3051	1.4595701173141773	0	1
gene-PA2469	14	20	14	11	14	72	2	7	3	1	3	102	host	gene-PA2469	1.3817461197656182	0	1
gene-PA2740	428	587	276	623	863	473	118	143	30	80	55	162	host	pheS	0.8092964680651743	0	1
gene-PA1920	17	23	69	12	14	396	4	5	54	9	5	640	host	nrdD	1.8528981710147758	0	1
gene-PA3356	268	210	91	415	499	207	63	62	34	8	6	285	host	gene-PA3356	0.8745619284122619	0	1
gene-PA1598	16	20	21	8	11	120	0	2	10	3	0	305	host	gene-PA1598	1.9759688401896411	0	1
gene-PA3663	50	50	14	27	39	99	8	13	8	6	2	158	host	gene-PA3663	1.1280510029784685	0	1
gene-PA3295	62	89	22	23	16	132	7	8	11	7	1	153	host	gene-PA3295	1.1421981421418093	0	1
gene-PA4811	36	32	72	65	101	395	4	5	21	4	3	239	host	fdnH	1.4005948417090104	0	1
gene-PA1881	5	9	2	6	4	70	0	2	7	0	1	110	host	gene-PA1881	1.8514814444370353	0	1
gene-PA0714	35	46	1459	19	62	324	1	5	26	2	3	174	host	gene-PA0714	2.2058616307752894	0	1
gene-PA5215	468	481	4003	205	375	310	74	94	40	67	38	282	host	gcvT1	1.9700870760475901	0	1
gene-PA5107	186	125	44	112	145	166	28	21	21	9	12	78	host	blc	0.7889947458311585	0	1
gene-PA0034	55	33	28	16	26	140	3	3	19	2	3	140	host	gene-PA0034	1.2200835990226198	0	1
gene-PA4998	67	46	28	42	67	176	8	13	12	7	3	159	host	gene-PA4998	1.0677389822139658	0	1
gene-PA3870	10	2	18	2	4	138	0	4	14	0	0	172	host	moaA1	1.8611699623593738	0	1
gene-PA5168	70	76	23944	207	251	241	33	35	25	9	7	274	host	gene-PA5168	3.1404650913305665	0	1
gene-PA2346	15	9	12	1	6	136	2	1	15	2	2	317	host	gene-PA2346	2.0865466441176057	0	1
gene-PA4673	285	392	2703	295	457	519	125	180	388	88	47	187	host	gene-PA4673	1.4563941028250456	0	1
gene-PA0707	40	53	1125	24	52	130	6	19	27	5	6	187	host	toxR	2.1632905422140896	0	1
gene-PA2480	51	41	23	42	63	99	13	6	15	6	4	184	host	gene-PA2480	1.092292305294761	0	1
gene-PA3620	197	232	177	178	274	471	54	52	47	31	16	615	host	mutS	0.9133750812610321	0	1
gene-PA4011	85	82	65	72	93	199	11	19	22	11	8	286	host	gene-PA4011	1.0208364452973406	0	1
gene-PA2210	5	7	26	6	7	125	3	2	15	2	0	236	host	gene-PA2210	1.9006353645601104	0	1
gene-PA1013.1	94	153	41	56	90	238	17	29	26	6	11	65	host	gene-PA1013.1	0.9483770365488339	0	1
gene-PA3103	199	195	64	126	165	194	17	29	25	7	8	157	host	xcpR	0.7824311647096919	0	1
gene-PA0096	19	22	26	13	25	108	4	2	19	3	2	105	host	gene-PA0096	1.2315221674778325	0	1
gene-PA1316	11	11	44	8	5	239	2	4	27	2	2	465	host	gene-PA1316	1.982988328929606	0	1
gene-PA5361	26	26	263	17	20	330	7	10	174	8	10	1276	host	phoR	1.9233071054119213	0	1
gene-PA3401	21	27	18	22	27	154	6	8	12	4	4	330	host	gene-PA3401	1.7495642230604507	0	1
gene-PA0127	29	29	15	7	21	191	4	1	15	2	2	344	host	gene-PA0127	1.8269787189974112	0	1
gene-PA3835	20	30	40	13	34	412	3	9	27	4	2	328	host	gene-PA3835	1.7280962491582896	0	1
gene-PA2007	207	234	125	195	368	91	24	26	9	9	9	114	host	maiA	0.9301467371433453	0	1
gene-PA1893	22	21	70	11	15	361	4	4	22	5	2	586	host	gene-PA1893	1.88982967779154	0	1
gene-PA3305.1	7	145	5245	23	48	121	10	13	17	6	2	39	host	phrS	3.0433416656444385	0	1
gene-PA2462	1498	3159	2455	1530	3950	3503	462	641	411	388	237	1953	host	gene-PA2462	0.7542487576305591	0	1
gene-PA5343	130	89	19	33	42	138	9	18	10	8	4	415	host	gene-PA5343	1.466861697390929	0	1
gene-PA4561	334	336	83	198	327	224	50	74	184	43	30	267	host	ribF	0.6410746791022451	0	1
gene-PA3905	15	32	26	6	23	72	3	7	8	6	1	157	host	gene-PA3905	1.4406799233645404	0	1
gene-PA0754	23	16	197	35	36	602	3	3	4434	1	0	751	host	gene-PA0754	2.3770808199598457	0	1
gene-PA3273	13	10	7	4	2	64	0	0	4	0	0	72	host	gene-PA3273	1.6529306555527719	0	1
gene-PA3810	1111	1219	163	1823	2377	364	225	270	43	93	54	545	host	hscA	1.0709628962054385	0	1
gene-PA4805	18	11	40	6	13	327	3	3	28	3	1	448	host	gene-PA4805	1.895435904859178	0	1
gene-PA0621	63	95	83	63	151	204	92	70	36	31	23	56	host	gene-PA0621	0.6166470986759894	0	1
gene-PA2804	5	6	12	3	6	74	1	1	7	3	1	156	host	gene-PA2804	1.9441831019439237	0	1
gene-PPLUZ19_gp11	0	0	40	1935	1612	35403	62047	49211	8593	15682	14568	12113	phage	gp11	1.197333237019804	0	0
gene-PA2779	41	48	32	20	31	83	3	7	11	1	2	67	host	gene-PA2779	0.8930027852174339	0	1
gene-PA1047	99	110	51	44	70	269	16	21	22	6	5	346	host	gene-PA1047	1.1848462386821692	0	1
gene-PA3701	171	208	128	234	364	302	67	88	24	42	31	101	host	prfB	0.7230345258836779	0	1
gene-PA4421.1	95618	143717	28263	55936	77049	21326	55052	85798	9764	66218	81532	5203	host	rnpB	0.637117789324609	0	1
gene-PA4044	176	177	790	205	279	521	55	68	33	35	20	575	host	dxs	0.9887668308818313	0	1
gene-PA0352	39	41	45	44	76	344	21	18	29	16	4	470	host	gene-PA0352	1.4931196554090516	0	1
gene-PA2344	20	9	8	10	8	43	5	5	8	0	0	56	host	mtlZ	1.1644174667088412	0	1
gene-PA3834	438	485	290	577	733	905	109	137	914	63	60	611	host	valS	0.6786388454854924	0	1
gene-PA4230	93	55	64	126	116	69	17	9	5	2	3	107	host	pchB	0.818399588217212	0	1
gene-PA2198	26	36	13	20	19	40	1	2	4	2	0	31	host	gene-PA2198	0.8659180145168538	0	1
gene-PA4589	36	44	327	15	30	265	4	11	37	8	6	239	host	gene-PA4589	1.3266788405750722	0	1
gene-PA0004	1622	1983	1086	1805	2554	1244	441	486	124	283	202	468	host	gyrB	0.7586359248749885	0	1
gene-PA4758.1	7	14	33	4	11	67	4	2	10	3	1	44	host	gene-PA4758.1	1.1865074799595658	0	1
gene-PA4244	2341	4576	2572	3212	5935	3597	1484	1964	332	977	541	293	host	rplO	0.7313073608816163	0	1
gene-PA4388	53	81	50	37	57	154	5	6	37	4	2	268	host	gene-PA4388	1.181205558646057	0	1
gene-PA4195	4	4	338	1	9	191	1	2	15	5	0	217	host	gene-PA4195	1.6851432674049727	0	1
gene-PA1798	31	36	31	35	38	166	9	10	12	10	6	144	host	parS	1.1627245480575559	0	1
gene-PPLUZ19_gp27	0	0	2	70	132	18937	896	1566	27553	33486	28644	91476	phage	gp27	1.5285362670314635	0	0
gene-PA2805	276	179	360	86	96	108	30	27	11	9	10	55	host	gene-PA2805	1.0448370001157101	0	1
gene-PA4383	27	21	22	11	23	113	3	3	13	0	1	94	host	gene-PA4383	1.2803502763214434	0	1
gene-PA1943	52	49	24	25	31	131	3	5	16	2	3	137	host	gene-PA1943	1.13341248829795	0	1
gene-PA3560	702	280	38	447	407	165	71	43	27	7	16	272	host	fruA	1.0254385460938753	0	1
gene-PA4340	64	76	18	31	39	104	8	2	8	3	5	160	host	gene-PA4340	1.0968173518842614	0	1
gene-PA5430	114	138	81	58	97	347	22	22	50	5	10	475	host	gene-PA5430	1.17889861646043	0	1
gene-PA2747a	59	40	11	7	16	37	4	6	4	6	4	31	host	gene-PA2747a	0.9413308152311299	0	1
gene-PA4763	64	56	54	91	109	299	29	17	34	8	9	349	host	recN	1.1566378828359596	0	1
gene-PA0313	170	162	54	97	138	208	20	24	15	10	2	125	host	gene-PA0313	0.8219817610306106	0	1
gene-PA4254	1189	2723	2535	1115	2510	2376	733	967	235	512	262	285	host	rpsQ	0.7273170939524322	0	1
gene-PA5120	16	19	59	10	31	44	5	5	142	2	1	60	host	gene-PA5120	1.1788568273161733	0	1
gene-PA1141	16	11	12	2	13	96	1	1	8	1	1	205	host	gene-PA1141	1.9060856019838532	0	1
gene-PA5207	21	21	68	14	21	242	2	4	26	4	1	422	host	gene-PA5207	1.7557596696313964	0	1
gene-PA2786	1	4	7	1	9	45	0	0	4	2	0	77	host	gene-PA2786	1.8253036277105608	0	1
gene-PA2394	658	746	242	1135	1268	402	200	217	37	61	80	174	host	pvdN	0.9299819034669289	0	1
gene-PA5338	620	777	1375	603	911	698	133	198	74	84	63	601	host	spoT	0.7688952763714141	0	1
gene-PA0911	27	33	39	19	44	184	12	15	341	12	1	60	host	gene-PA0911	1.4483576203653152	0	1
gene-PA0111	7	4	15	2	8	82	0	2	10	0	0	228	host	gene-PA0111	2.1307485212091106	0	1
gene-PA3625	213	273	68	117	215	209	35	36	21	22	13	186	host	surE	0.7823700648596096	0	1
gene-PA5105	34	16	27	11	19	140	8	3	8	2	3	221	host	hutC	1.5907039585914922	0	1
gene-PA1609	311	475	421	1753	2210	916	460	504	37	185	117	168	host	fabB	1.033158199363953	0	1
gene-PA5155	93	113	46	92	121	166	9	5	17	2	2	126	host	gene-PA5155	0.8548865641997302	0	1
gene-PA4479	16	25	12	34	55	88	8	14	10	4	5	102	host	mreD	1.0241532498492982	0	1
gene-PA1611	151	203	109	183	263	306	27	35	42	24	18	247	host	gene-PA1611	0.7535096467221071	0	1
gene-PA3929	74	141	37	68	209	208	31	44	28	69	31	248	host	cioB	0.7801899714330314	0	1
gene-PA3891	21	9	24	13	15	241	0	2	787	4	0	233	host	gene-PA3891	1.9583540682376057	0	1
gene-PA0649	175	161	65	157	202	230	37	36	36	25	21	198	host	trpG	0.6971519481907074	0	1
gene-PA5558	6351	7270	3696	3466	6181	2242	1147	1476	247	825	557	276	host	atpF	0.8706366068200087	0	1
gene-PA4434	137	99	89	103	138	228	17	19	171	7	4	313	host	gene-PA4434	0.8257207387131842	0	1
gene-PA2570	2	5	14	2	4	65	1	0	10	3	0	42	host	lecA	1.573381575981393	0	1
gene-PA2826	87	52	51	29	28	101	4	4	14	2	2	47	host	gene-PA2826	0.9153341564359364	0	1
gene-PA3036	18	13	18	6	12	136	0	6	15	5	2	172	host	gene-PA3036	1.627146501128682	0	1
gene-PA4572	48	40	187	51	65	232	19	22	26	22	9	254	host	fklB	1.04739745088402	0	1
gene-PA0122	103	887	339	54	627	234	24	128	20	35	3	210	host	gene-PA0122	1.187790662308927	0	1
gene-PA0164	15	33	37	7	12	183	2	2	24	3	3	176	host	gene-PA0164	1.516823728562524	0	1
gene-PA2511	9	9	10	8	7	117	1	3	14	3	0	276	host	gene-PA2511	2.0487419396501525	0	1
gene-PA1580	491	540	339	590	585	504	148	121	55	62	43	223	host	gltA	0.6912941967257106	0	1
gene-PA3898	24	20	3514	4	14	394	3	0	1139	1	3	256	host	gene-PA3898	2.183216318008129	0	1
gene-PA4420	576	578	213	191	379	224	48	60	26	34	14	124	host	gene-PA4420	0.9499339002444146	0	1
gene-PA4619	123	143	232	55	83	214	13	18	185	9	7	328	host	gene-PA4619	0.8576658819447465	0	1
gene-PA1835	11	7	4	4	12	57	1	2	10	0	1	143	host	gene-PA1835	1.887721394563314	0	1
gene-PA5501	57	51	37	37	42	191	9	10	31	7	5	249	host	znuB	1.2269967503750234	0	1
gene-PA1425	29	30	14	15	38	112	9	18	16	2	1	155	host	gene-PA1425	1.2421807262044338	0	1
gene-PA0074	124	95	149	108	133	423	17	23	47	21	14	794	host	ppkA	1.3458216337169722	0	1
gene-PA2999	139	261	103	254	388	321	73	100	39	44	36	323	host	nqrA	0.705621714462153	0	1
gene-PA4538	165	141	66	142	158	215	35	35	33	9	11	245	host	ndh	0.7575787043245996	0	1
gene-PA4983	52	32	14	9	17	140	5	4	17	3	1	318	host	gene-PA4983	1.7367613161517175	0	1
gene-PA1660	12	17	57	5	21	305	3	15	24	14	1	146	host	gene-PA1660	1.6523813736405448	0	1
gene-PA3093	81	73	27	65	105	128	11	12	15	9	8	286	host	gene-PA3093	1.1228840236803292	0	1
gene-PA4483	170	195	115	283	320	722	49	46	30	34	14	450	host	gatA	1.0107926505155373	0	1
gene-PA3657	194	289	137	260	350	321	58	96	28	45	41	112	host	map	0.6992943372623446	0	1
gene-PA2487	9	2	14	5	3	70	0	2	8	0	1	128	host	gene-PA2487	1.854686136588912	0	1
gene-PA4084	28	22	46	12	18	321	3	4	30	1	1	387	host	cupB3	1.748094124362382	0	1
gene-PA1070	612	637	287	641	926	198	74	65	11	11	12	105	host	braG	1.0261155906602388	0	1
gene-PA3970	66	57	117	62	54	284	8	7	25	4	1	482	host	amn	1.418309651361479	0	1
gene-PA0460	92	66	85	48	49	174	18	14	14	14	9	131	host	gene-PA0460	0.8500419880769268	0	1
gene-PA0561	37	48	63	37	55	313	10	10	42	3	3	151	host	gene-PA0561	1.3091696628190712	0	1
gene-PA4623	4	2	11	2	7	68	0	1	8	0	0	152	host	gene-PA4623	2.0407950143650977	0	1
gene-PA0363	56	76	36	32	45	131	21	10	24	15	10	70	host	coaD	0.7709447795111914	0	1
gene-PA3500	11	6	21	16	7	196	2	4	32	0	1	275	host	gene-PA3500	1.80803673744623	0	1
gene-PA4014	33	33	631	20	38	129	11	7	14	3	1	225	host	gene-PA4014	1.8166936066012405	0	1
gene-PA3288	52	30	14	29	50	77	7	7	7	13	4	182	host	gene-PA3288	1.2272198900080966	0	1
gene-PA3329	16	40	102	6	53	262	1	5	27	2	2	314	host	gene-PA3329	1.4797201698633105	0	1
gene-PA3828	177	323	110	248	374	294	45	91	29	39	23	168	host	gene-PA3828	0.7423624094741123	0	1
gene-PA5232	135	136	11301	57	118	217	10	20	314	13	5	294	host	gene-PA5232	2.9401169812529946	0	1
gene-PA0294	29	24	17	13	6	81	2	2	11	4	2	90	host	aguR	1.2414319262620528	0	1
gene-PA1417	21	6	14	72	20	82	8	1	13	0	1	132	host	gene-PA1417	1.2983666763655661	0	1
gene-PA3472	40	44	34	15	43	155	8	9	22	6	2	224	host	gene-PA3472	1.3050474979347122	0	1
gene-PA3202	81	94	26	47	44	119	16	12	4	16	4	84	host	gene-PA3202	0.8302856839359705	0	1
gene-PA4512	100	117	107	47	74	232	5	11	27	8	5	170	host	lpxO1	0.9283341647878051	0	1
gene-PA0595	671	1032	574	604	920	949	183	219	112	131	83	376	host	ostA	0.6901437451099913	0	1
gene-PA2343	4	4	11	4	9	60	2	0	9	2	1	78	host	mtlY	1.597789115218518	0	1
gene-PA4306	22	36	50	6	8	106	3	4	8	10	2	56	host	flp	1.1620980922866169	0	1
gene-PA3028	335	172	54	135	164	144	25	26	16	10	12	224	host	moeA2	0.9036066810551435	0	1
gene-PA5238	51	57	703	26	48	452	12	9	59	8	5	355	host	gene-PA5238	1.467287853165102	0	1
gene-PA2951	2799	2511	390	1226	1284	334	317	311	65	197	194	247	host	etfA	1.0963397487715296	0	1
gene-PA0047	50	51	31	96	109	124	32	24	10	11	18	196	host	gene-PA0047	0.8736692007507336	0	1
gene-PA4802.1	17	8	18	5	2	76	2	2	11	1	0	86	host	gene-PA4802.1	1.4945267952243555	0	1
gene-PA0897	289	353	148	154	423	164	13	23	26	11	6	142	host	aruG	0.9388768012039008	0	1
gene-PA2113	353	49	27	335	297	138	38	25	13	2	5	245	host	opdO	1.0523760446225638	0	1
gene-PA3133.4	152	374	67	132	286	525	96	132	58	54	35	110	host	gene-PA3133.4	0.8539166883685079	0	1
gene-PA0091	122	215	346	108	273	599	24	40	49	33	14	443	host	vgrG1	0.9668942753947712	0	1
gene-PA2504	108	67	22	26	39	104	10	11	10	6	2	118	host	gene-PA2504	0.9630544477419238	0	1
gene-PA3971	38	29	99	26	36	120	5	6	8	1	1	195	host	gene-PA3971	1.2299700470270294	0	1
gene-PA4033	11	4	15	5	5	148	1	3	7	0	0	133	host	gene-PA4033	1.8335037772065341	0	1
gene-PA1229	0	7	14	6	10	142	0	2	13	1	2	161	host	gene-PA1229	1.8350148291605097	0	1
gene-PA0259	177	168	131	97	139	369	24	28	40	22	15	258	host	gene-PA0259	0.8581570728956309	0	1
gene-PA3629	234	302	335	247	307	321	55	60	26	31	24	211	host	adhC	0.6893413592192383	0	1
gene-PA4451.1	115	90	27	50	71	33	18	20	5	7	6	18	host	gene-PA4451.1	0.8976550000166101	0	1
gene-PA3010	147	218	93	76	170	113	26	34	12	9	15	35	host	gene-PA3010	0.8478965682815672	0	1
gene-PA2681	10	4	11	7	5	54	3	1	9	1	2	136	host	gene-PA2681	1.853127132904185	0	1
gene-PA5357	22	24	20	20	47	101	7	9	102	9	4	181	host	gene-PA5357	1.1493721038654736	0	1
gene-PA3408	850	426	80	181	96	416	35	10	44	3	9	643	host	hasR	1.1714823973537072	0	1
gene-PA3955	30	17	19	13	15	133	3	3	23	0	0	120	host	gene-PA3955	1.3910972835612079	0	1
gene-PA3552	9	14	15	7	7	92	0	5	17	1	0	178	host	arnB	1.7719867347211504	0	1
gene-PA3537	35	26	30	28	19	155	7	15	19	6	4	182	host	argF	1.2959979970316624	0	1
gene-PA2225	4	7	13	4	6	105	0	1	6	1	1	79	host	gene-PA2225	1.7597065044204458	0	1
gene-PA3183	948	1775	592	752	1725	346	62	79	55	36	22	220	host	zwf	1.1089998492976487	0	1
gene-PA2686	214	180	33	16	32	111	1	12	15	2	4	174	host	pfeR	1.1626452049075808	0	1
gene-PA5243	573	639	490	287	432	455	86	103	60	61	65	158	host	hemB	0.7459242235757475	0	1
gene-PA1168	2	5	14	2	3	108	0	0	16	0	0	68	host	gene-PA1168	1.7993115611532715	0	1
gene-PA3198	128	78	58	83	114	172	12	24	17	5	7	128	host	gene-PA3198	0.7947460102055554	0	1
gene-PA0662	301	236	53	88	193	262	40	51	19	36	26	188	host	argC	0.7999471842538176	0	1
gene-PA2439	7	11	17	5	12	81	3	2	11	1	0	102	host	gene-PA2439	1.5329586449428647	0	1
gene-PA1591	14	18	18	61	90	145	16	34	20	14	2	141	host	gene-PA1591	1.015621341828185	0	1
gene-PA3713	35	32	40	13	30	231	8	19	31	6	1	274	host	spdH	1.455974282434656	0	1
gene-PA5150	888	766	98	273	467	364	57	106	50	35	28	265	host	gene-PA5150	0.9874259829636465	0	1
gene-PA2973	649	579	271	579	746	433	115	112	42	33	34	135	host	gene-PA2973	0.8305753725813091	0	1
gene-PA5324	99	83	370	85	138	342	15	15	67	11	4	279	host	gene-PA5324	1.0019224602721406	0	1
gene-PA3824.1	64	91	22	56	107	120	48	96	23	35	23	43	host	gene-PA3824.1	0.5494368130151056	0	1
gene-PA0714.1	8	22	34	6	23	92	3	8	12	3	4	61	host	phrD	1.146760594620194	0	1
gene-PA2644	26	15	57	36	47	139	27	27	20	18	14	75	host	nuoI	0.8199366599379819	0	1
gene-PA2069	14	34	27	5	31	149	1	7	20	1	0	353	host	gene-PA2069	1.8375916951620432	0	1
gene-PA2476	38	40	23	29	33	136	6	12	10	3	1	271	host	dsbG	1.495345109719956	0	1
gene-PA4135	47	71	45	36	52	161	8	5	19	3	3	123	host	gene-PA4135	1.0013057637200065	0	1
gene-PA0055	65	51	50	31	56	157	9	13	27	1	7	125	host	gene-PA0055	0.934791864038362	0	1
gene-PA3104	109	99	40	46	82	102	9	9	12	7	1	147	host	xcpP	0.8721066522501699	0	1
